RowID,Page#,Paragraph#,keywords,Paragraph_text
1,1,1,"the Barista Express, ™ Instruction Book - BES870XL",the Barista Express™ Instruction Book - BES870XL /A
2,2,1,"we, you, the espresso  machine, 2 BREVILLE, SAFETY, Breville, We, consumer  products","2 BREVILLE  RECOMMENDS  SAFETY FIRST At Breville we are very safety  conscious. We design and  manufacture consumer  products with the safety of you,  our valued customer, foremost  in mind. In addition we ask  that you exercise a degree of  care when using any electrical  appliance and adhere to the  following precautions. IMPORTANT  SAFEGUARDS READ ALL  INSTRUCTIONS BEFORE  USE AND SAVE FOR  FUTURE REFERENCE •	Carefully read all  instructions before  operating and save for  future reference. •	Remove any packaging  material and promotional  labels or stickers before  using the espresso  machine for the first time. •	To eliminate a choking  hazard for young children,  remove and safely discard  the protective cover fitted  to the power plug of the  espresso machine. •	Do not place the espresso  machine near the edge of  a bench or table during  operation. Ensure the  surface is level, clean and  free of water and other  substances. 2	 Breville recommends safety first 9	 Components 11	 Functions 24	Care & Cleaning 29	Troubleshooting 35	Coffees to try 36	French Contents"
3,3,1,"the espresso  machine, We, water, the  machine, a hot  gas or electric burner, it, a  heated oven, metal  surfaces","3 •	Do not place the espresso  machine on or near a hot  gas or electric burner, or  where it could touch a  heated oven. •	Do not use the espresso  machine on metal  surfaces, for example, a  sink drain board. •	Always ensure the  espresso machine is  properly assembled before  connecting to a power  outlet and operating. •	Do not attempt to operate  the espresso machine by  any method other than  those described in this  book. •	The espresso machine  is not intended to be  operated by means of an  external timer or separate  remote control system. •	We recommend using  cold, filtered water.  We do not recommend  the use of de-mineralized  or distilled water as this  may affect the taste of  the espresso and how the  machine is designed to  function. Do not use any  other liquid. •	Never use the espresso  machine without water in  the water tank. •	Ensure the portafilter  is firmly inserted and  secured into the group  head before using the  machine. •	Never remove the  portafilter during the  brewing operation as  the machine is under  pressure. •	Do not touch hot surfaces.  Use handles or knobs.  Allow the espresso  machine to cool down  before moving or cleaning  any parts. •	Do not place anything  other than cups for  warming on top of the   espresso machine."
4,4,1,"use, appliance, the  appliance, the appliance, electric  shock, persons, the  grinder, the  hopper lid","4 •	Do not operate the  grinder without the  hopper lid in position.   Keep fingers, hands, hair,  clothing and utensils away  from the hopper during  operation. •	Always switch off the  espresso machine by  pressing the POWER  button to off and unplug  if appliance is to be left  unattended, if not in use,  before cleaning, before  attempting to move the  appliance, disassembling,  assembling and when  storing the appliance. •	Keep the espresso  machine  and accessories  clean. Follow the cleaning  instructions provided in  this book. •	Do not use espresso  machine attachments  other than those provided.  The use of accessory  attachments not  recommended by Breville  may result in fire, electric  shock or injury to persons. IMPORTANT  SAFEGUARDS FOR  ALL ELECTRICAL  APPLIANCES •	Fully unwind cord  before use. •	To protect against electric  shock, do not immerse  cord, plug or appliance in  water or any other liquid. •	Do not let the cord  hang over the edge of  a bench or table, touch  hot surfaces, or become  knotted. •	Do not leave the appliance  unattended when in use. •	This appliance is not  intended for use by  persons (including  children) with reduced  physical, sensory or  mental capabilities,  or lack of experience  or knowledge, unless  they have been given  supervision or instruction  concerning use of the  appliance by a person  responsible for their  safety."
5,5,1,"the  appliance, This appliance, the appliance, it, 5 •	Children, they, household use, this appliance","5 •	Children should be  supervised to ensure  they do not play with the  appliance. •	This appliance is  recommended for  household use only.  Do not use this appliance  for anything other than  its intended use. Do not  use in moving vehicles  or boats. Do not use  outdoors. •	It is recommended to  regularly inspect the  appliance. Do not use  the appliance if the  power cord, power plug,  or appliance becomes  damaged in anyway.  Immediately cease  use and call Breville  Consumer Support. •	For any maintenance  other than cleaning,  call Breville Consumer  Support. •	This appliance is  equipped with a power  cord having a grounding  wire with a grounding  plug. The appliance must  be grounded using a  3-hole properly grounded  outlet. In the event of an  electrical short circuit,  grounding reduces the  risk of electrical shock. •	If the appliance is of  the grounded type, the  extension cord should be  a grounding 3-wire cord.  •	If the power outlet is  a standard 2-prong  wall outlet, it is your  personal responsibility  and obligation to have it  replaced with a properly  grounded 3-prong wall  outlet. •	Do not, under any  circumstances, cut or  remove the third (ground)  prong from the power  cord or use an adapter."
6,6,1,"the cord, Your Breville appliance, it, California, a qualified  electrician, the  grounding instructions, doubt, the  appliance","6 •	Consult a qualified  electrician if the  grounding instructions  are not completely  understood, or if doubt   exists as to whether the  appliance is properly  grounded. SHORT CORD   INSTRUCTIONS Your Breville appliance is  fitted with a short power cord  to reduce personal injury or  property damage resulting from  pulling, tripping or becoming  entangled with a longer cord.  Longer detachable power cords  or extension cords are available  and may be used if care is  exercised. If an extension cord  is used, (1) the marked electrical  rating of the cord set or  extension cord should be at least  as great as the electrical rating  of the appliance, (2) the cord  should be arranged so that it will  not drape over the countertop  or table where it can be pulled  on by children or tripped over  unintentionally and (3) the  extension cord must include a  3-prong grounding plug. WARNING Fully unwind the cord  before use.  CALIFORNIA  PROPOSITION 65: (Applicable to California  residents only).  This product contains chemicals  known to the State of California  to cause cancer, birth defects or  other reproductive harm. BREVILLE ASSIST™  PLUG Your Breville appliance comes  with a unique Assist™ Plug,  conveniently designed with a  finger hole to ease removal from  the power outlet."
7,7,1,"HOUSEHOLD USE, THESE INSTRUCTIONS",7 FOR HOUSEHOLD USE ONLY SAVE THESE INSTRUCTIONS
8,8,1,"the filter basket, 8 INTEGRATED CONICAL   BURR GRINDER Stainless steel conical burrs, ground  coffee surface area, a full espresso flavor, Upper, lower burrs, cleaning, ADJUSTABLE GRIND SIZE Espresso","8 INTEGRATED CONICAL   BURR GRINDER Stainless steel conical burrs maximize ground  coffee surface area for a full espresso flavor.  Upper and lower burrs are removable for  cleaning. ADJUSTABLE GRIND SIZE Espresso grind settings from fine to coarse for  optimal extraction. ADJUSTABLE GRIND AMOUNT Adjust the amount of fresh ground coffee  dosed into the filter basket to suit the fineness  or coarseness of the grind.  AUTOMATIC DOSING Use the FILTER SIZE button to tell the  machine if you are using a 1 CUP or 2 CUP  filter basket. The grinder will dispense the  required amount of ground coffee for a single  or double cup dose. HANDS FREE GRINDING Auto stop for hands free grinding directly into  the portafilter. THE RAZOR™ DOSE   TRIMMING TOOL Patented twist blade trims down the puck  to the right level for precision dosing and a  consistent extraction. ADJUSTABLE TEMPERATURE  CONTROL For optimum coffee flavor. PID TEMPERATURE CONTROL Electronic PID temperature control for  increased temperature stability. THERMOCOIL HEATING SYSTEM Integrated stainless steel water coil accurately  controls water temperature. COMMERCIAL STYLE STEAM WAND Stainless steel 360° swivel-action steam  wand for effortless milk texturing. INSTANT HOT WATER Dedicated hot water outlet for making  Americanos and pre-heating cups. LOW PRESSURE PRE-INFUSION Applies low water pressure at the start of   the extraction to gently expand grinds for   an even extraction. ESPRESSO PRESSURE GAUGE Monitors espresso extraction pressure. VOLUMETRIC CONTROL Preset 1 & 2 cup volumes, manual over-ride or  re-programmable shot volumes. DRY PUCK FEATURE Removes excess water from the ground coffee  in the filter basket after extraction for easy  disposal of the coffee puck."
9,9,1,"9 Components A.	½lb bean hopper, locking system, easy  removal, storage, transfer, coffee beans, B.	 Integrated conical burr grinder, C.	 Grind outlet","9 Components A.	½lb bean hopper  With locking system for easy  removal, storage and transfer of  coffee beans. B.	 Integrated conical burr grinder. C.	 Grind outlet. D.	 Grinding activation switch. E.	 	 Hands free grinding cradle. F.	 GRIND SIZE selector  Espresso grind settings from fine   to coarse. G.	GRIND AMOUNT dial.  Adjust the amount of fresh ground  coffee dosed into the filter basket to  suit the fineness or coarseness of the  grind. H.	FILTER SIZE button.  Tell the machine if you are using a   1 CUP or 2 CUP filter basket and the  grinder will dispense the required  amount of ground coffee for a single  or double cup dose. I.	 POWER button. J.	 Integrated removable 54mm tamper. K.	 Group Head. L.	 54mm stainless steel portafilter.  With commercial style spouts. M.	Extra-tall cup clearance for tall mugs. N.	Removable wet & dry coffee separator  drip tray. With Empty Me! tray full  indicator. O.	Storage tray. (located behind drip tray)  Houses accessories when not in use. P.	 360˚ swivel-action steam wand. Q.	Dedicated hot water outlet.  Monitors espresso extraction pressure. R.	 Steam/Hot Water dial.  Selector dial for steam and hot water. S.	 Steam/Hot Water light.  Illuminates to indicate that the steam or hot  water function is selected. T.	 1 CUP and 2 CUP buttons.  With preset, manual over-ride or   re-programmable shot volumes. A B G D H I C E J X S K L T W V U N R P O Y F M Q"
10,10,1,"1 cup, 2 cup, pre-ground coffee, / DESCALE, a cleaning cycle, V.	 Espresso pressure gauge, W.	PROGRAM button, Re","10 U.	 CLEAN / DESCALE light.  Illuminates when a cleaning cycle or  descaling is required. V.	 Espresso pressure gauge. W.	PROGRAM button.  Re-programs the preset 1 CUP and  2 CUP shot volumes. X.	 Cup warming tray. Y.	 67 fl.oz (2L) removable water tank.  With replaceable water filter to reduce  impurities and scale. All parts of the   Barista Express™ that  come into contact with  coffee, water and milk  are BPA Free. 1 3 2 5 4 6 6 8 9 10 11 7 4 ACCESSORIES 1.	 Stainless steel milk jug. 2.	 Cleaning disc. 3.	 Cleaning tablets. 4.	 Dual Wall filter baskets (1 cup & 2 cup).  Use with pre-ground coffee. 5.	 Allen key. 6.	 Single Wall filter baskets (1 cup & 2 cup).  Use when grinding fresh whole coffee  beans. 7.	 Cleaning tool. 8.	 Water filter holder and filter. 9.	 Coffee scoop.  Measures the amount of pre-ground coffee  when using dual wall filter baskets. 10.	Cleaning brush. 11.	The Razor™ precision dose trimming tool."
